"tick","Susceptible","Exposed","Infected","Immune","Dead"
252,296091,1753,2019,132,5
253,296062,1765,2035,133,5
254,296018,1791,2050,135,6
255,295975,1815,2066,137,7
256,295939,1835,2081,138,7
257,295907,1849,2094,143,7
258,295882,1849,2119,143,7
259,295825,1882,2141,145,7
260,295785,1909,2154,145,7
261,295754,1916,2177,146,7
262,295714,1934,2197,148,7
263,295671,1951,2221,150,7
264,295639,1958,2242,154,7
265,295593,1985,2260,155,7
266,295564,1997,2276,156,7
267,295528,2008,2301,156,7
268,295495,2015,2325,158,7
269,295455,2027,2350,161,7
270,295427,2037,2366,163,7
271,295386,2053,2389,165,7
272,295333,2083,2412,165,7
273,295292,2108,2426,167,7
274,295249,2112,2462,170,7
275,295217,2117,2484,175,7
276,295176,2141,2500,176,7
277,295136,2147,2533,177,7
278,295088,2171,2556,177,8
279,295040,2198,2575,179,8
280,294998,2213,2601,180,8
281,294941,2227,2639,185,8
282,294895,2244,2668,185,8
283,294842,2276,2687,187,8
284,294798,2297,2710,187,8
285,294746,2319,2740,187,8
286,294699,2342,2763,188,8
287,294650,2360,2790,192,8
288,294607,2378,2815,192,8
289,294554,2405,2839,194,8
290,294512,2433,2851,196,8
291,294474,2439,2880,199,8
292,294431,2455,2905,201,8
293,294377,2482,2929,204,8
294,294321,2512,2953,206,8
295,294272,2533,2980,207,8
296,294230,2549,3002,211,8
297,294180,2563,3034,215,8
298,294128,2584,3065,215,8
299,294077,2601,3099,215,8
300,294021,2625,3130,216,8
301,293973,2649,3149,221,8
302,293915,2676,3178,223,8
303,293856,2691,3222,223,8
304,293776,2738,3254,224,8
305,293716,2775,3276,225,8
306,293666,2787,3312,227,8
307,293614,2807,3341,230,8
308,293554,2833,3375,230,8
309,293501,2855,3403,232,9
310,293437,2890,3431,233,9
311,293379,2904,3472,236,9
312,293327,2922,3501,241,9
313,293266,2954,3525,246,9
314,293205,2978,3559,249,9
315,293152,2997,3588,254,9
316,293108,3003,3626,254,9
317,293059,3012,3662,258,9
318,292999,3031,3702,259,9
319,292946,3040,3743,261,10
320,292877,3070,3777,266,10
321,292826,3087,3809,268,10
322,292745,3130,3842,272,11
323,292670,3169,3872,277,12
324,292607,3193,3906,282,12
325,292551,3208,3943,286,12
326,292480,3250,3971,287,12
327,292409,3291,3999,289,12
328,292347,3317,4034,290,12
329,292268,3360,4068,292,12
330,292190,3395,4107,296,12
331,292099,3449,4141,299,12
332,292031,3475,4181,301,12
333,291952,3515,4216,305,12
334,291878,3549,4249,312,12
335,291813,3567,4293,315,12
336,291739,3606,4324,319,12
337,291683,3627,4358,320,12
338,291619,3653,4391,325,12
339,291563,3670,4427,328,12
340,291487,3694,4475,332,12
341,291431,3712,4510,335,12
342,291370,3722,4557,339,12
343,291284,3771,4591,342,12
344,291207,3796,4637,348,12
345,291122,3838,4677,350,13
346,291046,3878,4708,355,13
347,290976,3901,4751,359,13
348,290899,3929,4795,364,13
349,290820,3975,4825,367,13
350,290735,4012,4864,376,13
351,290633,4075,4898,381,13
352,290558,4102,4942,385,13
353,290462,4149,4989,387,13
354,290381,4179,5035,392,13
355,290292,4214,5083,397,14
356,290213,4236,5135,402,14
357,290127,4286,5169,404,14
358,290030,4346,5201,409,14
359,289933,4378,5264,411,14
360,289851,4411,5311,413,14
361,289751,4463,5355,416,15
362,289666,4506,5392,421,15
363,289589,4530,5442,424,15
364,289484,4596,5480,425,15
365,289398,4617,5538,432,15
366,289300,4658,5592,435,15
367,289183,4722,5642,437,16
368,289071,4776,5695,442,16
369,288985,4797,5755,447,16
370,288884,4837,5808,454,17
371,288785,4873,5868,457,17
372,288694,4913,5916,460,17
373,288587,4963,5971,462,17
374,288493,4993,6028,468,18
375,288400,5025,6082,475,18
376,288292,5073,6138,479,18
377,288178,5137,6182,484,19
